ELAPSED,IMAGE1,IMAGE2,SIMILARITY
10169,C:\Onnesimus_Learning\git-hub-repo\image-compare\src\main\resources\profile1.png,C:\Onnesimus_Learning\git-hub-repo\image-compare\src\main\resources\profile.png,1.0
1165,C:\Onnesimus_Learning\git-hub-repo\image-compare\src\main\resources\img01.jpg,C:\Onnesimus_Learning\git-hub-repo\image-compare\src\main\resources\img02.jpg,1.0
